"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @arturPolonia: A wiesz, co ja wczoraj zrobiłem po tym meczu z Ukrainą…
…wyrzuciłem swoją Ukrainkę”.
…po złości jej dzisiaj nie zapłacę
……",FALSE,0,NA,2022-03-02 09:42:07,FALSE,NA,"1498956811994554370",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wieslawspurek",305,TRUE,FALSE,NA,NA
"RT @arek_stempienik: @lkwarzecha Może w ramach solidarności z Ukrainą na czas trwania wojny Banki wstrzymały by się  z podnoszeniem rat kre…",FALSE,0,NA,2022-03-02 09:42:07,FALSE,NA,"1498956809310294019",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lkwarzecha",1,TRUE,FALSE,NA,NA
"@CisekZ1 @CezaryFaber @PAPinformacje A co innego ma Ukraina powiedzieć? :P Na razie oprócz szumu informacyjnego w o… https://t.co/ZXxrYSwrlj",FALSE,0,"CisekZ1",2022-03-02 09:42:05,TRUE,"1498953857736617984","1498956800476991489","1449396474920456203","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Delejt",0,FALSE,FALSE,NA,NA
"RT @embraceforgives: Proszę państwa, piesek Dajsy 🙈

#PutinHitler #PutinWarCriminal #Putin
#UkraineWar #ukraina #ukraine #wojna https://t.c…",FALSE,0,NA,2022-03-02 09:42:04,FALSE,NA,"1498956797788495872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gugol953",168,TRUE,FALSE,NA,NA
"RT @PolsatNewsPL: Ukraina nadal broni swojego narodu, swojej ziemi i swojej niepodległości - pisze Ministerstwo Spraw Zagranicznych Ukrainy…",FALSE,0,NA,2022-03-02 09:42:03,FALSE,NA,"1498956792738553856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Marek43404261",1,TRUE,FALSE,NA,NA
"Podczas kiedy świat nakłada kolejne sankcje na Rosję, pisowski rząd ""opowiada się za nimi"", ""apeluje do UE o embarg… https://t.co/H3K2cOHJJC",FALSE,0,NA,2022-03-02 09:42:03,TRUE,NA,"1498956792130420741",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Anna_Hev",0,FALSE,FALSE,NA,NA
"RT @CezaryFaber: ❗🇷🇺🇺🇦 Rosja jest gotowa do kontynuowania rozmów z Ukrainą w środę wieczorem - @AFP.",FALSE,0,NA,2022-03-02 09:42:01,FALSE,NA,"1498956787000782851",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HiszpanInk",2,TRUE,FALSE,NA,NA
"RT @Polishsoldier3: Mam wielką prośbę. Nie publikujcie zdjęć tego co ląduje i stratuje z baz oraz lotnisk w płd-wsch Polsce. Tego co jeździ…",FALSE,0,NA,2022-03-02 09:42:00,FALSE,NA,"1498956780667392001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Niedzwiedz1308",1028,TRUE,FALSE,NA,NA
"RT @wszewko: Międzynarodowy Trybunał Sprawiedliwości, przeprowadzi publiczne przesłuchania w sprawie zarzutów ludobójstwa na podstawie Konw…",FALSE,0,NA,2022-03-02 09:41:57,FALSE,NA,"1498956769137238018",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AnnaMyPrecious1",48,TRUE,FALSE,NA,NA
"RT @nahmafia: ❗️❗️THREAD - CO JEST POTRZEBNE A CO NIE, JAK PAKOWAĆ PRODUKTY, ETC ❗️❗️🇺🇦🇺🇦🇺🇦

 #Ukraina #Wojna #IStandWithUkraine",FALSE,0,NA,2022-03-02 09:41:55,FALSE,NA,"1498956761616769025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cutievx",89,TRUE,FALSE,NA,NA
